booking_id,name,hotel,booking_timestamp,n_rooms,room_type,children,arrival_timestamp,leave_timestamp,guests,total_cost,is_canceled
cab0388e-1264-4029-be95-19739edea0f4,Marcia Salazar,EUZ,2022-11-19 00:48:25,1,single,0,2023-01-10,2023-01-24,1,873.17,False
d82441af-f8de-4f23-805a-960c2b2eca4c,Shawn Campbell,SQC,2022-11-15 17:19:27,2,triple,1,2022-12-25,2022-12-26,6,329.69,False
2ee5cafb-827a-4abc-b06f-8275440d6e2e,Laurie Morton,ZDC,2022-07-10 14:21:44,2,suite,0,2022-08-16,2022-08-24,2,6330.86,True
1269ef8c-5a35-423b-8b73-556183605dcb,Catherine Ellis,GZD,2022-10-06 10:23:33,1,single,1,2022-11-20,2022-12-02,1,805.58,False
7100d522-cccb-47b8-9e0d-ee4e83e934c9,Ryan Cameron,TXL,2022-03-12 01:26:47,2,double,0,2022-05-15,2022-05-27,4,2583.24,False
e1814330-3602-40b6-bb8c-304021f5eb9b,Trevor Lopez,NAD,2022-05-21 06:53:31,2,triple,0,2022-07-05,2022-07-06,4,326.13,True
fdf87b1d-27ad-43bb-ab4b-b2b07757094a,Matthew Davis,CSM,2022-04-12 02:23:24,1,suite,0,2022-05-17,2022-05-26,4,3755.11,False
b4f5a478-f748-41e3-8209-68e90d155e45,Michelle Buckley,HHO,2022-08-28 04:36:42,1,triple,0,2022-11-03,2022-11-08,2,821.53,True
7c741489-dea9-4b83-9187-c2633155b88e,Danielle Hubbard,ECJ,2022-08-22 10:53:46,4,suite,1,2022-10-26,2022-10-27,8,1588.67,True
2be95c2a-82d6-4152-87a9-7f500e8d7df9,Kristina Rich,VPH,2022-03-16 13:47:05,1,double,0,2022-05-17,2022-05-23,2,772.77,True
ff95802f-d622-4a5f-931b-ec2b57416c23,Sarah Stone,ZDC,2022-05-07 19:13:28,2,double,0,2022-05-12,2022-05-26,2,2943.24,True
70949e8c-2423-4892-be64-4948ab5f2a73,Benjamin Nielsen,LMB,2022-11-01 14:43:01,1,double,1,2022-11-19,2022-11-22,1,333.28,False
2ffa8457-ae27-43a2-9843-5bf2f2d770b7,Vanessa Bonilla,ZDC,2022-01-12 11:11:55,1,triple,0,2022-02-15,2022-02-20,1,800.75,True
a6553d67-f954-4186-a828-715746f9f57c,Lisa Wall,UIO,2022-06-07 19:28:51,1,single,0,2022-06-24,2022-06-27,1,200.0,True
880b59f7-4903-408f-92bf-443a9a12ec39,Keith Alvarez,TJR,2022-09-23 01:32:39,1,suite,1,2022-11-01,2022-11-11,1,4177.23,False
07d1d27e-1ad4-4fc8-b740-5dc73826babb,Jeffery Deleon,VPH,2022-11-10 16:11:46,2,triple,0,2023-01-17,2023-01-29,4,4412.51,False
f84768c2-5553-4647-a4c6-fd8b75f9d5ef,Larry Williams,GPP,2022-10-20 15:34:24,1,double,0,2023-01-09,2023-01-12,2,340.98,False
c355ae67-c5b3-4484-a475-ee1081ecef78,Victoria Sims,RCE,2022-09-08 06:37:18,1,single,1,2022-10-02,2022-10-09,1,557.44,True
07cb1b6e-4732-4cce-951f-03b77e07323d,Ralph Orr,PEV,2022-11-03 23:43:13,1,triple,1,2022-12-11,2022-12-13,2,356.86,False
f09d1d23-001c-4a49-bad1-6929cef1a53c,Ashley Singh,QPT,2022-06-06 02:11:49,1,double,3,2022-06-17,2022-06-21,1,471.63,True
58a2bf87-e14a-465d-bb1a-4786c1819ae1,Rachel Porter,REL,2022-09-05 18:30:37,2,triple,0,2022-10-05,2022-10-13,4,2841.12,False
0b173092-260a-4298-865d-8a53c24c9851,Daniel Boone,SGU,2022-11-23 04:30:26,4,double,3,2023-01-25,2023-01-30,8,2120.61,False
c3da8c43-e2cc-4c29-9b4e-5559fc9a1868,Justin Hill,PEV,2022-10-15 13:26:40,1,double,0,2022-12-06,2022-12-12,2,700.79,False
f04038ce-f87f-4872-bf26-29dc6c5a002f,Rebecca David,RCE,2022-09-02 08:37:10,2,double,0,2022-09-27,2022-10-09,4,2719.99,False
e0d62d5c-f682-4518-b0ea-0f48685b24fb,Danielle Smith,TJR,2022-09-21 10:38:35,2,single,2,2022-10-02,2022-10-15,2,1836.41,False
2a2a9537-41be-4eb9-96d2-716e0ffef5e3,Craig Nelson,PLP,2022-12-29 22:55:33,1,double,0,2023-01-19,2023-01-30,1,1246.23,False
43233acd-71cb-4aa7-a99c-e06fa2490672,Anthony Scott,PEV,2022-10-09 14:57:22,1,double,1,2022-11-28,2022-12-02,1,520.24,True
4568a656-f6d1-4127-8b5a-075ff7cafdef,Elizabeth Rodriguez,GNT,2022-10-27 13:32:36,4,double,0,2022-12-07,2022-12-13,4,3061.26,False
ac521c21-f824-4899-a8c1-8aa6877e2f60,Kenneth Mcdonald,PQL,2022-04-13 21:40:19,4,suite,0,2022-06-30,2022-07-02,4,3440.45,True
